binary_splits,confidence_factor,config_laplace,leaves,min_num_obj,num_folds,precision,reduced_error_pruning,save_instance_data,subtree_raising,tree_size,unpruned
True,,True,16.0,3,7.0,31.0,True,False,False,31.0,False
True,0.6,False,18.0,5,,35.0,False,True,True,35.0,False
True,,False,10.0,7,4.0,19.0,True,True,True,19.0,False
False,,True,26.0,8,7.0,31.0,True,True,False,31.0,False
True,0.9,True,39.0,1,,77.0,False,True,True,77.0,False
True,0.9,False,13.0,8,,25.0,False,True,False,25.0,False
False,0.6,False,31.0,8,,41.0,False,False,True,41.0,False
True,,True,15.0,7,,29.0,False,True,False,29.0,True
True,0.5,True,37.0,1,,73.0,False,True,False,73.0,False
False,,False,36.0,4,6.0,46.0,True,False,True,46.0,False
True,0.1,True,18.0,5,,35.0,False,True,False,35.0,False
False,,True,28.0,6,8.0,35.0,True,True,False,35.0,False
False,0.9,True,31.0,8,,41.0,False,True,False,41.0,False
False,0.7,False,62.0,5,,80.0,False,False,False,80.0,False
True,0.5,False,15.0,7,,29.0,False,False,False,29.0,False
True,,False,13.0,3,8.0,25.0,True,False,True,25.0,False
True,0.7,False,18.0,5,,35.0,False,False,True,35.0,False
True,,False,13.0,4,2.0,25.0,True,True,False,25.0,False
False,0.5,False,31.0,9,,41.0,False,True,False,41.0,False
True,0.6,True,12.0,9,,23.0,False,True,True,23.0,False
False,,True,27.0,5,3.0,33.0,True,False,False,33.0,False
True,,False,18.0,5,,35.0,False,True,False,35.0,True
True,,False,9.0,8,7.0,17.0,True,True,False,17.0,False
False,,False,51.0,2,9.0,61.0,True,True,False,61.0,False
True,0.3,True,15.0,7,,29.0,False,False,False,29.0,False
True,0.3,True,14.0,6,,27.0,False,False,False,27.0,False
True,,False,21.0,2,9.0,41.0,True,True,True,41.0,False
False,0.3,False,40.0,4,,56.0,False,False,True,56.0,False
True,0.4,True,18.0,4,,35.0,False,False,False,35.0,False
True,0.2,True,11.0,9,,21.0,False,True,False,21.0,False
False,,True,74.0,2,2.0,87.0,True,True,True,87.0,False
False,0.6,True,55.0,3,,76.0,False,True,False,76.0,False
True,0.1,True,35.0,1,,69.0,False,True,False,69.0,False
False,,False,36.0,3,5.0,51.0,True,True,False,51.0,False
False,0.4,True,31.0,8,,41.0,False,True,False,41.0,False
True,,True,7.0,8,2.0,13.0,True,False,True,13.0,False
False,0.3,True,45.0,3,,64.0,False,True,True,64.0,False
True,,True,28.0,1,4.0,55.0,True,False,False,55.0,False
True,0.3,False,23.0,3,,45.0,False,True,True,45.0,False
False,,True,27.0,9,8.0,33.0,True,False,False,33.0,False
False,0.4,True,45.0,3,,64.0,False,True,False,64.0,False
True,,True,13.0,5,4.0,25.0,True,False,True,25.0,False
True,,True,11.0,1,8.0,21.0,True,False,True,21.0,False
False,0.4,True,34.0,7,,47.0,False,True,True,47.0,False
True,0.5,True,18.0,5,,35.0,False,True,False,35.0,False
False,0.2,True,34.0,6,,47.0,False,True,False,47.0,False
True,0.5,True,28.0,2,,55.0,False,False,True,55.0,False
False,,True,26.0,9,6.0,31.0,True,True,False,31.0,False
False,0.2,False,39.0,4,,54.0,False,True,True,54.0,False
False,0.7,False,98.0,1,,128.0,False,False,False,128.0,False
True,,False,13.0,5,4.0,25.0,True,True,False,25.0,False
True,,False,7.0,9,2.0,13.0,True,False,False,13.0,False
True,,True,23.0,3,6.0,45.0,True,True,False,45.0,False
False,0.6,True,65.0,2,,88.0,False,False,True,88.0,False
False,,False,7.0,9,2.0,13.0,True,True,False,13.0,False
True,0.3,True,18.0,4,,35.0,False,True,False,35.0,False
False,,True,28.0,6,8.0,35.0,True,True,True,35.0,False
False,,True,27.0,6,3.0,33.0,True,False,True,33.0,False
False,,False,25.0,4,7.0,29.0,True,False,False,29.0,False
False,0.3,True,30.0,8,,39.0,False,False,False,39.0,False
False,0.5,False,34.0,7,,47.0,False,False,True,47.0,False
False,0.6,False,34.0,7,,47.0,False,False,True,47.0,False
False,,True,31.0,2,8.0,41.0,True,False,True,41.0,False
False,,False,28.0,5,8.0,35.0,True,True,False,35.0,False
True,0.5,False,23.0,3,,45.0,False,True,True,45.0,False
True,0.8,True,13.0,8,,25.0,False,True,False,25.0,False
False,,True,29.0,6,4.0,37.0,True,True,True,37.0,False
True,0.9,True,14.0,6,,27.0,False,False,True,27.0,False
True,,False,23.0,1,9.0,45.0,True,True,True,45.0,False
True,,True,33.0,1,3.0,65.0,True,True,True,65.0,False
False,0.2,False,39.0,4,,54.0,False,False,True,54.0,False
True,0.7,True,14.0,6,,27.0,False,True,True,27.0,False
False,,False,34.0,1,8.0,44.0,True,False,True,44.0,False
False,,True,36.0,3,5.0,51.0,True,False,True,51.0,False
False,0.9,True,62.0,5,,80.0,False,True,True,80.0,False
True,,False,10.0,6,8.0,19.0,True,True,False,19.0,False
True,,False,15.0,7,,29.0,False,True,False,29.0,True
False,,True,31.0,7,3.0,36.0,True,False,True,36.0,False
False,,False,26.0,3,4.0,31.0,True,False,True,31.0,False
True,0.8,False,14.0,6,,27.0,False,False,True,27.0,False
False,0.9,True,31.0,9,,41.0,False,False,True,41.0,False
False,,True,28.0,1,4.0,35.0,True,True,True,35.0,False
False,,False,7.0,9,2.0,13.0,True,False,False,13.0,False
True,,False,9.0,9,3.0,17.0,True,True,True,17.0,False
True,0.5,True,15.0,7,,29.0,False,True,True,29.0,False
False,0.7,True,65.0,2,,88.0,False,True,True,88.0,False
True,0.2,False,11.0,9,,21.0,False,False,True,21.0,False
False,,True,34.0,1,8.0,44.0,True,True,True,44.0,False
False,,True,98.0,1,,128.0,False,True,False,128.0,True
True,0.6,True,18.0,4,,35.0,False,True,False,35.0,False
True,0.9,False,39.0,1,,77.0,False,True,True,77.0,False
True,,False,12.0,9,6.0,23.0,True,False,True,23.0,False
False,0.1,False,78.0,1,,102.0,False,True,False,102.0,False
False,0.3,False,49.0,2,,69.0,False,False,True,69.0,False
True,,True,13.0,4,2.0,25.0,True,False,True,25.0,False
False,0.5,True,34.0,7,,47.0,False,True,True,47.0,False
False,0.1,True,30.0,8,,39.0,False,False,False,39.0,False
False,,True,23.0,8,9.0,25.0,True,False,True,25.0,False
True,0.2,True,14.0,6,,27.0,False,False,True,27.0,False
