binary_splits,confidence_factor,config_laplace,leaves,min_num_obj,num_folds,precision,reduced_error_pruning,save_instance_data,subtree_raising,tree_size,unpruned
True,,True,9.0,9,3.0,55.6098,True,False,False,17.0,False
True,,True,9.0,9,3.0,55.6098,True,True,True,17.0,False
True,,False,9.0,9,3.0,55.6098,True,False,False,17.0,False
True,,False,9.0,9,3.0,55.6098,True,True,True,17.0,False
True,,False,9.0,9,3.0,55.6098,True,False,True,17.0,False
True,,True,9.0,9,3.0,55.6098,True,True,False,17.0,False
True,,True,9.0,9,3.0,55.6098,True,False,True,17.0,False
True,,False,9.0,9,3.0,55.6098,True,True,False,17.0,False
False,,True,31.0,7,3.0,56.0976,True,False,True,36.0,False
False,,True,31.0,7,3.0,56.0976,True,True,False,36.0,False
False,,True,8.0,9,3.0,56.0976,True,True,True,15.0,False
False,,True,31.0,7,3.0,56.0976,True,True,True,36.0,False
False,,True,8.0,9,3.0,56.0976,True,False,True,15.0,False
False,,True,8.0,9,3.0,56.0976,True,False,False,15.0,False
False,,True,8.0,9,3.0,56.0976,True,True,False,15.0,False
False,,False,8.0,9,3.0,56.0976,True,False,True,15.0,False
False,,False,8.0,9,3.0,56.0976,True,True,True,15.0,False
False,,False,8.0,9,3.0,56.0976,True,True,False,15.0,False
False,,False,8.0,9,3.0,56.0976,True,False,False,15.0,False
False,,True,31.0,7,3.0,56.0976,True,False,False,36.0,False
True,,True,9.0,8,3.0,56.5854,True,False,True,17.0,False
True,,False,9.0,8,3.0,56.5854,True,False,True,17.0,False
True,,False,9.0,8,3.0,56.5854,True,True,True,17.0,False
False,,False,8.0,8,3.0,56.5854,True,True,False,15.0,False
False,,False,31.0,7,3.0,56.5854,True,True,True,36.0,False
False,,False,31.0,7,3.0,56.5854,True,False,False,36.0,False
False,,True,8.0,8,3.0,56.5854,True,False,True,15.0,False
False,,False,8.0,8,3.0,56.5854,True,True,True,15.0,False
False,,False,8.0,8,3.0,56.5854,True,False,False,15.0,False
False,,False,8.0,8,3.0,56.5854,True,False,True,15.0,False
False,,False,31.0,7,3.0,56.5854,True,False,True,36.0,False
True,,False,9.0,8,3.0,56.5854,True,True,False,17.0,False
False,,False,31.0,7,3.0,56.5854,True,True,False,36.0,False
False,,True,8.0,8,3.0,56.5854,True,False,False,15.0,False
False,,True,8.0,8,3.0,56.5854,True,True,False,15.0,False
True,,True,9.0,8,3.0,56.5854,True,True,False,17.0,False
True,,False,9.0,8,3.0,56.5854,True,False,False,17.0,False
